predicted_probabilities,predicted,actual
0.37572742,1,1
0.06397363,1,1
0.105355814,1,1
0.00726815,1,1
0.0004134483,0,0
0.067421615,1,1
0.001608923,0,0
0.0003238626,0,0
0.0016539138,0,0
0.26210368,1,1
0.004006819,1,0
0.2188005,1,1
0.061648827,1,1
0.00034791866,0,0
0.0011357492,0,0
0.11198349,1,1
0.00082099845,0,0
0.23543862,1,0
0.00057224627,0,0
0.0020274161,0,0
0.04648696,1,0
0.12754636,1,1
0.030517573,1,0
0.0002300498,0,0
0.17507999,1,1
0.27116495,1,1
0.00095322693,0,0
0.0006255136,0,0
0.0010427822,0,0
0.00088810024,0,0
0.001787934,0,0
0.00029871846,0,0
0.1225773,1,1
0.2068255,1,1
0.15730841,1,1
0.00045704792,0,0
0.12878479,1,0
0.0010779703,0,0
0.066434845,1,0
0.06918905,1,1
0.0015336478,0,0
0.00089717313,0,0
0.0009668413,0,0
0.0016473164,0,0
0.000691217,0,0
0.00032094444,0,0
0.07165549,1,1
0.024049764,1,0
0.0007824428,0,0
0.038723733,1,1
0.0900002,1,1
0.04517424,1,0
0.0012705305,0,0
0.03933516,1,0
0.0006177818,0,0
0.06086218,1,1
0.00038790522,0,0
0.090015545,1,0
0.00018102654,0,0
0.22416511,1,1
0.00060982176,0,0
0.21245407,1,1
0.00040682126,0,0
0.00035426728,0,0
0.00084643497,0,0
0.00074494275,0,0
0.041130006,1,0
0.0015142651,0,0
0.00039745818,0,0
0.0076943766,1,0
0.0009827234,0,0
0.15999855,1,1
0.0006540231,0,0
0.0005468318,0,0
0.0017867719,0,0
0.620698,1,1
0.08659097,1,0
0.11629299,1,0
0.059435282,1,1
0.0011405047,0,0
0.23640765,1,1
0.00030292314,0,0
0.057908617,1,0
0.0019123773,0,0
0.101893075,1,1
0.08779946,1,1
0.012743083,1,0
0.0008954535,0,0
0.00074826466,0,0
0.00025764873,0,0
0.008504585,1,0
0.00023035314,0,0
0.0024396866,0,0
0.0009450678,0,0
0.036238097,1,1
0.10862596,1,1
0.00044062934,0,0
0.00042135592,0,0
0.0222928,1,0
0.0008845271,0,0
0.0050408486,1,0
0.0015776791,0,0
0.00051634683,0,0
0.0007582863,0,0
0.13725032,1,0
0.27573988,1,1
0.08234901,1,1
0.00039510033,0,0
0.09434047,1,1
0.04822306,1,0
0.00033673042,0,0
0.0006304784,0,0
0.00046301787,0,0
0.00030836393,0,0
0.0003276352,0,0
0.13672991,1,1
0.04966739,1,0
0.001014442,0,0
0.0023064096,0,0
0.0020478424,0,0
0.00070530135,0,0
0.2273643,1,1
0.00031968358,0,0
0.0010998757,0,0
0.0007985945,0,0
0.078217685,1,1
0.025354149,1,0
0.00051535654,0,0
0.05074214,1,0
0.00048443425,0,0
0.024939228,1,1
0.0011497989,0,0
0.23888844,1,1
0.00036842524,0,0
0.055769797,1,0
0.009688724,1,0
0.0005971988,0,0
0.032792773,1,1
0.0643392,1,1
0.00067276624,0,0
0.058946855,1,0
0.0022856144,0,0
0.05272607,1,1
0.16209033,1,0
0.04285632,1,1
0.10131089,1,0
0.0005672946,0,0
0.003747971,0,0
0.07938423,1,1
0.08825339,1,0
0.0004785253,0,0
0.016098041,1,0
0.00041719363,0,0
0.0005656112,0,0
0.08827409,1,1
0.0004161488,0,0
0.25257134,1,1
0.033240043,1,0
0.06311342,1,1
0.0019152291,0,0
0.082695894,1,1
0.0007706504,0,0
0.11596983,1,1
0.21506564,1,1
0.0015971055,0,0
0.0019614084,0,0
0.00065407704,0,0
0.13805218,1,1
0.030844536,1,0
0.3010609,1,0
0.0004739632,0,0
0.00051796564,0,0
0.014729763,1,0
0.055833973,1,1
0.0015151442,0,0
0.0005755284,0,0
0.00033567654,0,0
0.043011013,1,0
0.0007702396,0,0
0.0015268096,0,0
0.001377875,0,0
0.00078089564,0,0
0.10508894,1,1
0.0003242998,0,0
0.019144665,1,0
0.00043057988,0,0
0.137935,1,1
0.12040224,1,1
0.00084615,0,0
0.04296367,1,0
0.026878696,1,0
0.0015336645,0,0
0.00086084486,0,0
0.0009228882,0,0
0.0008638049,0,0
0.29926506,1,1
0.036295086,1,0
0.0006644106,0,0
0.00052572513,0,0
0.00034535705,0,0
0.01950291,1,0
0.00069286546,0,0
0.03665895,1,1
0.000747026,0,0
0.00032204634,0,0
0.00040587163,0,0
0.00034056505,0,0
0.014392283,1,0
0.00039501124,0,0
0.0014638382,0,0
0.025066983,1,1
0.036116455,1,0
0.00091049843,0,0
0.000745573,0,0
0.00063528266,0,0
0.0021823747,0,0
0.052638363,1,0
0.00078886637,0,0
0.001296636,0,0
0.16357888,1,1
0.0013202771,0,0
0.0011438963,0,0
0.13178964,1,0
0.09606275,1,0
0.000986353,0,0
0.076979026,1,0
0.0055414625,1,0
0.09201324,1,0
0.09204683,1,1
0.00084606727,0,0
0.052049715,1,0
0.0031685987,0,0
0.0008185948,0,0
0.000965278,0,1
0.12349752,1,1
0.0011662879,0,0
0.045415767,1,1
0.11662703,1,1
0.07179186,1,1
0.016583642,1,0
0.0005122628,0,0
0.0010393491,0,0
0.00036018583,0,0
0.10054477,1,1
0.013059183,1,0
0.15761046,1,0
0.017795177,1,0
0.08238081,1,0
0.0018801132,0,0
0.00025476972,0,0
0.0005189629,0,0
0.0005478139,0,0
0.00035661826,0,0
0.000814239,0,0
0.025607606,1,0
0.007775616,1,0
0.00029780908,0,0
0.0014623167,0,0
0.16951926,1,0
0.000458333,0,0
0.03416156,1,0
0.1991015,1,1
0.123114295,1,1
0.011185987,1,0
0.00068816263,0,0
0.00043211834,0,0
0.00046173105,0,0
0.014229702,1,0
0.0027562524,0,1
0.0009958483,0,0
0.06771284,1,0
0.0026756385,0,0
0.0006385499,0,0
0.0006104442,0,0
0.0009778375,0,0
0.16058774,1,1
0.00063762104,0,0
0.06098531,1,0
0.11159805,1,0
0.00026544154,0,0
0.00067504944,0,0
0.000755071,0,0
0.453941,1,1
0.0012081526,0,0
0.000366556,0,0
0.0010513875,0,0
0.10298196,1,1
0.025865184,1,0
0.0020876643,0,0
0.00075415015,0,0
0.0011468716,0,0
0.07781676,1,1
0.00044925892,0,0
0.017705273,1,0
0.00095574924,0,0
0.009516344,1,0
0.13889125,1,0
0.15951268,1,1
0.07537642,1,0
0.040729668,1,0
0.029575296,1,0
0.15851176,1,1
0.1499799,1,1
0.15392962,1,1
0.032957137,1,0
0.03268024,1,0
0.02768196,1,0
0.00064757996,0,0
0.0011607707,0,0
0.07284267,1,1
0.028668266,1,0
